sentences_original,sen_values,label,lemmatized_tokens
the bai brothers have taken an small slice of history and opened it up for all of us to understand and they ve told a nice little story in the process ,0.8333299999999999,pos,"['the', 'bai', 'brother', 'have', 'taken', 'an', 'small', 'slice', 'of', 'history', 'and', 'opened', 'it', 'up', 'for', 'all', 'of', 'u', 'to', 'understand', 'and', 'they', 've', 'told', 'a', 'nice', 'little', 'story', 'in', 'the', 'process']"
flamboyant in some movies and artfully restrained in others 65 year old jack nicholson could be looking at his 12th oscar nomination by proving that he s now more than ever choosing his roles with the precision of the insurance actuary ,0.81944,pos,"['flamboyant', 'in', 'some', 'movie', 'and', 'artfully', 'restrained', 'in', 'others', '65', 'year', 'old', 'jack', 'nicholson', 'could', 'be', 'looking', 'at', 'his', '12th', 'oscar', 'nomination', 'by', 'proving', 'that', 'he', 's', 'now', 'more', 'than', 'ever', 'choosing', 'his', 'role', 'with', 'the', 'precision', 'of', 'the', 'insurance', 'actuary']"
 is there a deeper more direct connection between these women one that spans time and reveals meaning ,0.54167,neutral,"['is', 'there', 'a', 'deeper', 'more', 'direct', 'connection', 'between', 'these', 'woman', 'one', 'that', 'span', 'time', 'and', 'reveals', 'meaning']"
you bet there is and it s what makes this rather convoluted journey worth taking ,0.58333,neutral,"['you', 'bet', 'there', 'is', 'and', 'it', 's', 'what', 'make', 'this', 'rather', 'convoluted', 'journey', 'worth', 'taking']"
the most amazing super sized dosage of goofball stunts any jackass fan could want ,0.8472200000000001,pos,"['the', 'most', 'amazing', 'super', 'sized', 'dosage', 'of', 'goofball', 'stunt', 'any', 'jackass', 'fan', 'could', 'want']"
real women may have many agendas but it also will win you over in a big way ,0.8333299999999999,pos,"['real', 'woman', 'may', 'have', 'many', 'agenda', 'but', 'it', 'also', 'will', 'win', 'you', 'over', 'in', 'a', 'big', 'way']"
young everlyn sampi as the courageous molly craig simply radiates star power potential in this remarkable and memorable film ,0.8472200000000001,pos,"['young', 'everlyn', 'sampi', 'a', 'the', 'courageous', 'molly', 'craig', 'simply', 'radiates', 'star', 'power', 'potential', 'in', 'this', 'remarkable', 'and', 'memorable', 'film']"
surprisingly powerful and universal ,0.81944,pos,"['surprisingly', 'powerful', 'and', 'universal']"
i ll put it this way if you re in the mood for a melodrama narrated by talking fish this is the movie for you ,0.55556,neutral,"['i', 'll', 'put', 'it', 'this', 'way', 'if', 'you', 're', 'in', 'the', 'mood', 'for', 'a', 'melodrama', 'narrated', 'by', 'talking', 'fish', 'this', 'is', 'the', 'movie', 'for', 'you']"
morvern callar confirms lynne ramsay as an important original talent in international cinema ,0.8333299999999999,pos,"['morvern', 'callar', 'confirms', 'lynne', 'ramsay', 'a', 'an', 'important', 'original', 'talent', 'in', 'international', 'cinema']"
well done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process ,0.76389,pos,"['well', 'done', 'supernatural', 'thriller', 'with', 'keen', 'insight', 'into', 'parapsychological', 'phenomenon', 'and', 'the', 'soulful', 'nuance', 'of', 'the', 'grieving', 'process']"
a plethora of engaging diatribes on the meaning of home delivered in grand passion by the members of the various households ,0.73611,pos,"['a', 'plethora', 'of', 'engaging', 'diatribe', 'on', 'the', 'meaning', 'of', 'home', 'delivered', 'in', 'grand', 'passion', 'by', 'the', 'member', 'of', 'the', 'various', 'household']"
it s technically sumptuous but also almost wildly alive ,0.88889,pos,"['it', 's', 'technically', 'sumptuous', 'but', 'also', 'almost', 'wildly', 'alive']"
this film puts wang at the forefront of china s sixth generation of film makers ,0.86111,pos,"['this', 'film', 'put', 'wang', 'at', 'the', 'forefront', 'of', 'china', 's', 'sixth', 'generation', 'of', 'film', 'maker']"
it s refreshing to see a movie that embraces its old fashioned themes and in the process comes out looking like something wholly original ,0.81944,pos,"['it', 's', 'refreshing', 'to', 'see', 'a', 'movie', 'that', 'embrace', 'it', 'old', 'fashioned', 'theme', 'and', 'in', 'the', 'process', 'come', 'out', 'looking', 'like', 'something', 'wholly', 'original']"
wiseman is patient and uncompromising letting his camera observe and record the lives of women torn apart by a legacy of abuse ,0.65278,pos,"['wiseman', 'is', 'patient', 'and', 'uncompromising', 'letting', 'his', 'camera', 'observe', 'and', 'record', 'the', 'life', 'of', 'woman', 'torn', 'apart', 'by', 'a', 'legacy', 'of', 'abuse']"
there s none of the happily ever after spangle of monsoon wedding in late marriage and that s part of what makes dover kosashvili s outstanding feature debut so potent ,0.8472200000000001,pos,"['there', 's', 'none', 'of', 'the', 'happily', 'ever', 'after', 'spangle', 'of', 'monsoon', 'wedding', 'in', 'late', 'marriage', 'and', 'that', 's', 'part', 'of', 'what', 'make', 'dover', 'kosashvili', 's', 'outstanding', 'feature', 'debut', 'so', 'potent']"
an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation ,0.77778,pos,"['an', 'ingenious', 'and', 'often', 'harrowing', 'look', 'at', 'damaged', 'people', 'and', 'how', 'family', 'can', 'offer', 'either', 'despair', 'or', 'consolation']"
arguably the best script that besson has written in years ,0.93056,pos,"['arguably', 'the', 'best', 'script', 'that', 'besson', 'ha', 'written', 'in', 'year']"
it s no lie big fat liar is a real charmer ,0.8333299999999999,pos,"['it', 's', 'no', 'lie', 'big', 'fat', 'liar', 'is', 'a', 'real', 'charmer']"
invigorating surreal and resonant with a rainbow of emotion ,0.9166700000000001,pos,"['invigorating', 'surreal', 'and', 'resonant', 'with', 'a', 'rainbow', 'of', 'emotion']"
director alfonso cuaron gets vivid convincing performances from a fine cast and generally keeps things going at a rapid pace occasionally using an omniscient voice over narrator in the manner of french new wave films ,0.73611,pos,"['director', 'alfonso', 'cuaron', 'get', 'vivid', 'convincing', 'performance', 'from', 'a', 'fine', 'cast', 'and', 'generally', 'keep', 'thing', 'going', 'at', 'a', 'rapid', 'pace', 'occasionally', 'using', 'an', 'omniscient', 'voice', 'over', 'narrator', 'in', 'the', 'manner', 'of', 'french', 'new', 'wave', 'film']"
pray has really done his subject justice ,0.76389,pos,"['pray', 'ha', 'really', 'done', 'his', 'subject', 'justice']"
an unexpectedly sweet story of sisterhood ,0.77778,pos,"['an', 'unexpectedly', 'sweet', 'story', 'of', 'sisterhood']"
maintains your sympathy for this otherwise challenging soul by letting you share her one room world for a while ,0.72222,pos,"['maintains', 'your', 'sympathy', 'for', 'this', 'otherwise', 'challenging', 'soul', 'by', 'letting', 'you', 'share', 'her', 'one', 'room', 'world', 'for', 'a', 'while']"
a subtle humorous illuminating study of politics power and social mobility ,0.76389,pos,"['a', 'subtle', 'humorous', 'illuminating', 'study', 'of', 'politics', 'power', 'and', 'social', 'mobility']"
even if you have no interest in the gang infested east vs ,0.51389,neutral,"['even', 'if', 'you', 'have', 'no', 'interest', 'in', 'the', 'gang', 'infested', 'east', 'v']"
 west coast rap wars this modern mob music drama never fails to fascinate ,0.76389,pos,"['west', 'coast', 'rap', 'war', 'this', 'modern', 'mob', 'music', 'drama', 'never', 'fails', 'to', 'fascinate']"
nair s attention to detail creates an impeccable sense of place while thurman and lewis give what can easily be considered career best performances ,0.9166700000000001,pos,"['nair', 's', 'attention', 'to', 'detail', 'creates', 'an', 'impeccable', 'sense', 'of', 'place', 'while', 'thurman', 'and', 'lewis', 'give', 'what', 'can', 'easily', 'be', 'considered', 'career', 'best', 'performance']"
berry s saucy full bodied performance gives this aging series a much needed kick making die another day one of the most entertaining bonds in years,0.9027799999999999,pos,"['berry', 's', 'saucy', 'full', 'bodied', 'performance', 'give', 'this', 'aging', 'series', 'a', 'much', 'needed', 'kick', 'making', 'die', 'another', 'day', 'one', 'of', 'the', 'most', 'entertaining', 'bond', 'in', 'year']"
red dragon is less baroque and showy than hannibal and less emotionally affecting than silence ,0.44443999999999995,neutral,"['red', 'dragon', 'is', 'le', 'baroque', 'and', 'showy', 'than', 'hannibal', 'and', 'le', 'emotionally', 'affecting', 'than', 'silence']"
but like silence it s a movie that gets under your skin ,0.23611,neg,"['but', 'like', 'silence', 'it', 's', 'a', 'movie', 'that', 'get', 'under', 'your', 'skin']"
caviezel embodies the transformation of his character completely ,0.77778,pos,"['caviezel', 'embodies', 'the', 'transformation', 'of', 'his', 'character', 'completely']"
a creepy intermittently powerful study of a self destructive man about as unsettling to watch as an exploratory medical procedure or an autopsy ,0.68056,pos,"['a', 'creepy', 'intermittently', 'powerful', 'study', 'of', 'a', 'self', 'destructive', 'man', 'about', 'a', 'unsettling', 'to', 'watch', 'a', 'an', 'exploratory', 'medical', 'procedure', 'or', 'an', 'autopsy']"
pacino and williams seem to keep upping the ante on each other just as their characters do in the film ,0.8333299999999999,pos,"['pacino', 'and', 'williams', 'seem', 'to', 'keep', 'upping', 'the', 'ante', 'on', 'each', 'other', 'just', 'a', 'their', 'character', 'do', 'in', 'the', 'film']"
what results is the best performance from either in years ,0.88889,pos,"['what', 'result', 'is', 'the', 'best', 'performance', 'from', 'either', 'in', 'year']"
the cast is top notch and i predict there will be plenty of female audience members drooling over michael idemoto as michael ,0.86111,pos,"['the', 'cast', 'is', 'top', 'notch', 'and', 'i', 'predict', 'there', 'will', 'be', 'plenty', 'of', 'female', 'audience', 'member', 'drooling', 'over', 'michael', 'idemoto', 'a', 'michael']"
all the actors are good in pauline paulette but van der groen described as belgium s national treasure is especially terrific as pauline ,0.58333,neutral,"['all', 'the', 'actor', 'are', 'good', 'in', 'pauline', 'paulette', 'but', 'van', 'der', 'groen', 'described', 'a', 'belgium', 's', 'national', 'treasure', 'is', 'especially', 'terrific', 'a', 'pauline']"
miyazaki has created such a vibrant colorful world it s almost impossible not to be swept away by the sheer beauty of his images ,1.0,pos,"['miyazaki', 'ha', 'created', 'such', 'a', 'vibrant', 'colorful', 'world', 'it', 's', 'almost', 'impossible', 'not', 'to', 'be', 'swept', 'away', 'by', 'the', 'sheer', 'beauty', 'of', 'his', 'image']"
muccino seems to be exploring the idea of why human beings long for what they do n t have and how this gets us in trouble ,0.61111,pos,"['muccino', 'seems', 'to', 'be', 'exploring', 'the', 'idea', 'of', 'why', 'human', 'being', 'long', 'for', 'what', 'they', 'do', 'n', 't', 'have', 'and', 'how', 'this', 'get', 'u', 'in', 'trouble']"
but even while his characters are acting horribly he is always sympathetic ,0.61111,pos,"['but', 'even', 'while', 'his', 'character', 'are', 'acting', 'horribly', 'he', 'is', 'always', 'sympathetic']"
whether or not you buy mr broomfield s findings the film acquires an undeniable entertainment value as the slight pale mr broomfield continues to force himself on people and into situations that would make lesser men run for cover ,0.72222,pos,"['whether', 'or', 'not', 'you', 'buy', 'mr', 'broomfield', 's', 'finding', 'the', 'film', 'acquires', 'an', 'undeniable', 'entertainment', 'value', 'a', 'the', 'slight', 'pale', 'mr', 'broomfield', 'continues', 'to', 'force', 'himself', 'on', 'people', 'and', 'into', 'situation', 'that', 'would', 'make', 'lesser', 'men', 'run', 'for', 'cover']"
ozpetek joins the ranks of those gay filmmakers who have used the emigre experience to explore same sex culture in ways that elude the more nationally settled ,0.51389,neutral,"['ozpetek', 'join', 'the', 'rank', 'of', 'those', 'gay', 'filmmaker', 'who', 'have', 'used', 'the', 'emigre', 'experience', 'to', 'explore', 'same', 'sex', 'culture', 'in', 'way', 'that', 'elude', 'the', 'more', 'nationally', 'settled']"
 an eerily suspenseful deeply absorbing piece that works as a treatise on spirituality as well as a solid sci fi thriller ,0.8333299999999999,pos,"['an', 'eerily', 'suspenseful', 'deeply', 'absorbing', 'piece', 'that', 'work', 'a', 'a', 'treatise', 'on', 'spirituality', 'a', 'well', 'a', 'a', 'solid', 'sci', 'fi', 'thriller']"
i ve never seen or heard anything quite like this film and i recommend it for its originality alone ,0.81944,pos,"['i', 've', 'never', 'seen', 'or', 'heard', 'anything', 'quite', 'like', 'this', 'film', 'and', 'i', 'recommend', 'it', 'for', 'it', 'originality', 'alone']"
nicole kidman makes it a party worth attending ,0.875,pos,"['nicole', 'kidman', 'make', 'it', 'a', 'party', 'worth', 'attending']"
the direction has a fluid no nonsense authority and the performances by harris phifer and cam ron seal the deal ,0.72222,pos,"['the', 'direction', 'ha', 'a', 'fluid', 'no', 'nonsense', 'authority', 'and', 'the', 'performance', 'by', 'harris', 'phifer', 'and', 'cam', 'ron', 'seal', 'the', 'deal']"
the komediant is a tale worth catching ,0.75,pos,"['the', 'komediant', 'is', 'a', 'tale', 'worth', 'catching']"
the writing is clever and the cast is appealing ,0.875,pos,"['the', 'writing', 'is', 'clever', 'and', 'the', 'cast', 'is', 'appealing']"
the simplicity of the way home has few equals this side of aesop,0.5,neutral,"['the', 'simplicity', 'of', 'the', 'way', 'home', 'ha', 'few', 'equal', 'this', 'side', 'of', 'aesop']"
life on the rez is no picnic this picture shows you why ,0.5,neutral,"['life', 'on', 'the', 'rez', 'is', 'no', 'picnic', 'this', 'picture', 'show', 'you', 'why']"
spielberg has managed to marry science fiction with film noir and action flicks with philosophical inquiry ,0.76389,pos,"['spielberg', 'ha', 'managed', 'to', 'marry', 'science', 'fiction', 'with', 'film', 'noir', 'and', 'action', 'flick', 'with', 'philosophical', 'inquiry']"
it s the type of film about growing up that we do n t see often enough these days realistic urgent and not sugarcoated in the least ,0.72222,pos,"['it', 's', 'the', 'type', 'of', 'film', 'about', 'growing', 'up', 'that', 'we', 'do', 'n', 't', 'see', 'often', 'enough', 'these', 'day', 'realistic', 'urgent', 'and', 'not', 'sugarcoated', 'in', 'the', 'least']"
a taut sobering film ,0.80556,pos,"['a', 'taut', 'sobering', 'film']"
exudes the fizz of a busby berkeley musical and the visceral excitement of a sports extravaganza ,0.88889,pos,"['exudes', 'the', 'fizz', 'of', 'a', 'busby', 'berkeley', 'musical', 'and', 'the', 'visceral', 'excitement', 'of', 'a', 'sport', 'extravaganza']"
it s full of cheesy dialogue but great trashy fun that finally returns de palma to his pulpy thrillers of the early 80s ,0.61111,pos,"['it', 's', 'full', 'of', 'cheesy', 'dialogue', 'but', 'great', 'trashy', 'fun', 'that', 'finally', 'return', 'de', 'palma', 'to', 'his', 'pulpy', 'thriller', 'of', 'the', 'early', '80']"
the results if not memorable are at least interesting ,0.54167,neutral,"['the', 'result', 'if', 'not', 'memorable', 'are', 'at', 'least', 'interesting']"
a quietly moving look back at what it was to be iranian american in 1979 ,0.70833,pos,"['a', 'quietly', 'moving', 'look', 'back', 'at', 'what', 'it', 'wa', 'to', 'be', 'iranian', 'american', 'in', '1979']"
like a veteran head cutter barbershop is tuned in to its community ,0.66667,pos,"['like', 'a', 'veteran', 'head', 'cutter', 'barbershop', 'is', 'tuned', 'in', 'to', 'it', 'community']"
i m sure mainstream audiences will be baffled but for those with at least a minimal appreciation of woolf and clarissa dalloway the hours represents two of those well spent ,0.79167,pos,"['i', 'm', 'sure', 'mainstream', 'audience', 'will', 'be', 'baffled', 'but', 'for', 'those', 'with', 'at', 'least', 'a', 'minimal', 'appreciation', 'of', 'woolf', 'and', 'clarissa', 'dalloway', 'the', 'hour', 'represents', 'two', 'of', 'those', 'well', 'spent']"
you live the mood rather than savour the story ,0.72222,pos,"['you', 'live', 'the', 'mood', 'rather', 'than', 'savour', 'the', 'story']"
angela gheorghiu as famous prima donna floria tosca roberto alagna as her lover mario cavaradossi and ruggero as the villainous lecherous police chief scarpia all sing beautifully and act adequately ,0.75,pos,"['angela', 'gheorghiu', 'a', 'famous', 'prima', 'donna', 'floria', 'tosca', 'roberto', 'alagna', 'a', 'her', 'lover', 'mario', 'cavaradossi', 'and', 'ruggero', 'a', 'the', 'villainous', 'lecherous', 'police', 'chief', 'scarpia', 'all', 'sing', 'beautifully', 'and', 'act', 'adequately']"
while there are times when the film s reach exceeds its grasp the production works more often than it does n t ,0.625,pos,"['while', 'there', 'are', 'time', 'when', 'the', 'film', 's', 'reach', 'exceeds', 'it', 'grasp', 'the', 'production', 'work', 'more', 'often', 'than', 'it', 'doe', 'n', 't']"
while scorsese s bold images and generally smart casting ensure that gangs is never lethargic the movie is hindered by a central plot that s peppered with false starts and populated by characters who are nearly impossible to care about ,0.375,neg,"['while', 'scorsese', 's', 'bold', 'image', 'and', 'generally', 'smart', 'casting', 'ensure', 'that', 'gang', 'is', 'never', 'lethargic', 'the', 'movie', 'is', 'hindered', 'by', 'a', 'central', 'plot', 'that', 's', 'peppered', 'with', 'false', 'start', 'and', 'populated', 'by', 'character', 'who', 'are', 'nearly', 'impossible', 'to', 'care', 'about']"
watching this gentle mesmerizing portrait of a man coming to terms with time you barely realize your mind is being blown ,0.76389,pos,"['watching', 'this', 'gentle', 'mesmerizing', 'portrait', 'of', 'a', 'man', 'coming', 'to', 'term', 'with', 'time', 'you', 'barely', 'realize', 'your', 'mind', 'is', 'being', 'blown']"
the beautifully choreographed kitchen ballet is simple but absorbing ,0.63889,pos,"['the', 'beautifully', 'choreographed', 'kitchen', 'ballet', 'is', 'simple', 'but', 'absorbing']"
there s an underlying old world sexism to monday morning that undercuts its charm ,0.25,neg,"['there', 's', 'an', 'underlying', 'old', 'world', 'sexism', 'to', 'monday', 'morning', 'that', 'undercut', 'it', 'charm']"
 the best disney movie since the lion king ,0.88889,pos,"['the', 'best', 'disney', 'movie', 'since', 'the', 'lion', 'king']"
transcends its agenda to deliver awe inspiring at times sublime visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring do puts the x into the games ,0.88889,pos,"['transcends', 'it', 'agenda', 'to', 'deliver', 'awe', 'inspiring', 'at', 'time', 'sublime', 'visuals', 'and', 'offer', 'a', 'fascinating', 'glimpse', 'into', 'the', 'subculture', 'of', 'extreme', 'athlete', 'whose', 'derring', 'do', 'put', 'the', 'x', 'into', 'the', 'game']"
think of it as gidget only with muscles and a lot more smarts but just as endearing and easy to watch ,0.88889,pos,"['think', 'of', 'it', 'a', 'gidget', 'only', 'with', 'muscle', 'and', 'a', 'lot', 'more', 'smart', 'but', 'just', 'a', 'endearing', 'and', 'easy', 'to', 'watch']"
there is no solace here no entertainment value merely a fierce lesson in where filmmaking can take us ,0.22221999999999997,neg,"['there', 'is', 'no', 'solace', 'here', 'no', 'entertainment', 'value', 'merely', 'a', 'fierce', 'lesson', 'in', 'where', 'filmmaking', 'can', 'take', 'u']"
giggling at the absurdities and inconsistencies is part of the fun ,0.61111,pos,"['giggling', 'at', 'the', 'absurdity', 'and', 'inconsistency', 'is', 'part', 'of', 'the', 'fun']"
but the talented cast alone will keep you watching as will the fight scenes ,0.9166700000000001,pos,"['but', 'the', 'talented', 'cast', 'alone', 'will', 'keep', 'you', 'watching', 'a', 'will', 'the', 'fight', 'scene']"
arteta paints a picture of lives lived in a state of quiet desperation ,0.70833,pos,"['arteta', 'paint', 'a', 'picture', 'of', 'life', 'lived', 'in', 'a', 'state', 'of', 'quiet', 'desperation']"
drug abuse infidelity and death are n t usually comedy fare but turpin s film allows us to chuckle through the angst ,0.66667,pos,"['drug', 'abuse', 'infidelity', 'and', 'death', 'are', 'n', 't', 'usually', 'comedy', 'fare', 'but', 'turpin', 's', 'film', 'allows', 'u', 'to', 'chuckle', 'through', 'the', 'angst']"
while insomnia is in many ways a conventional even predictable remake nolan s penetrating undercurrent of cerebral and cinemantic flair lends it stimulating depth ,0.65278,pos,"['while', 'insomnia', 'is', 'in', 'many', 'way', 'a', 'conventional', 'even', 'predictable', 'remake', 'nolan', 's', 'penetrating', 'undercurrent', 'of', 'cerebral', 'and', 'cinemantic', 'flair', 'lends', 'it', 'stimulating', 'depth']"
efteriades gives the neighborhood scenery vibe and all the cinematic equivalent of a big tender hug ,0.77778,pos,"['efteriades', 'give', 'the', 'neighborhood', 'scenery', 'vibe', 'and', 'all', 'the', 'cinematic', 'equivalent', 'of', 'a', 'big', 'tender', 'hug']"
this is a nicely handled affair a film about human darkness but etched with a light yet unsentimental touch ,0.75,pos,"['this', 'is', 'a', 'nicely', 'handled', 'affair', 'a', 'film', 'about', 'human', 'darkness', 'but', 'etched', 'with', 'a', 'light', 'yet', 'unsentimental', 'touch']"
amazing ,0.9166700000000001,pos,['amazing']
a college story that works even without vulgarity sex scenes and cussing ,0.75,pos,"['a', 'college', 'story', 'that', 'work', 'even', 'without', 'vulgarity', 'sex', 'scene', 'and', 'cussing']"
the amazing film work is so convincing that by movies end you ll swear you are wet in some places and feel sand creeping in others ,0.79167,pos,"['the', 'amazing', 'film', 'work', 'is', 'so', 'convincing', 'that', 'by', 'movie', 'end', 'you', 'll', 'swear', 'you', 'are', 'wet', 'in', 'some', 'place', 'and', 'feel', 'sand', 'creeping', 'in', 'others']"
a raunchy and frequently hilarious follow up to the gifted korean american stand up s i m the one that i want ,0.77778,pos,"['a', 'raunchy', 'and', 'frequently', 'hilarious', 'follow', 'up', 'to', 'the', 'gifted', 'korean', 'american', 'stand', 'up', 's', 'i', 'm', 'the', 'one', 'that', 'i', 'want']"
if you ever wanted to be an astronaut this is the ultimate movie experience it s informative and breathtakingly spectacular ,0.93056,pos,"['if', 'you', 'ever', 'wanted', 'to', 'be', 'an', 'astronaut', 'this', 'is', 'the', 'ultimate', 'movie', 'experience', 'it', 's', 'informative', 'and', 'breathtakingly', 'spectacular']"
while parker and co writer catherine di napoli are faithful to melville s plotline they and a fully engaged supporting cast have made the old boy s characters more quick witted than any english lit major would have thought possible ,0.81944,pos,"['while', 'parker', 'and', 'co', 'writer', 'catherine', 'di', 'napoli', 'are', 'faithful', 'to', 'melville', 's', 'plotline', 'they', 'and', 'a', 'fully', 'engaged', 'supporting', 'cast', 'have', 'made', 'the', 'old', 'boy', 's', 'character', 'more', 'quick', 'witted', 'than', 'any', 'english', 'lit', 'major', 'would', 'have', 'thought', 'possible']"
a smart sassy and exceptionally charming romantic comedy ,0.875,pos,"['a', 'smart', 'sassy', 'and', 'exceptionally', 'charming', 'romantic', 'comedy']"
there are flaws but also stretches of impact and moments of awe we re wrapped up in the characters how they make their choices and why ,0.76389,pos,"['there', 'are', 'flaw', 'but', 'also', 'stretch', 'of', 'impact', 'and', 'moment', 'of', 'awe', 'we', 're', 'wrapped', 'up', 'in', 'the', 'character', 'how', 'they', 'make', 'their', 'choice', 'and', 'why']"
a gift to anyone who loves both dance and cinema,0.72222,pos,"['a', 'gift', 'to', 'anyone', 'who', 'love', 'both', 'dance', 'and', 'cinema']"
it seems grant does n t need the floppy hair and the self deprecating stammers after all ,0.43056000000000005,neutral,"['it', 'seems', 'grant', 'doe', 'n', 't', 'need', 'the', 'floppy', 'hair', 'and', 'the', 'self', 'deprecating', 'stammer', 'after', 'all']"
a reminder that beyond all the hype and recent digital glitz spielberg knows how to tell us about people ,0.9166700000000001,pos,"['a', 'reminder', 'that', 'beyond', 'all', 'the', 'hype', 'and', 'recent', 'digital', 'glitz', 'spielberg', 'know', 'how', 'to', 'tell', 'u', 'about', 'people']"
one of the finest most humane and important holocaust movies ever made ,0.98611,pos,"['one', 'of', 'the', 'finest', 'most', 'humane', 'and', 'important', 'holocaust', 'movie', 'ever', 'made']"
an engrossing and infectiously enthusiastic documentary ,0.86111,pos,"['an', 'engrossing', 'and', 'infectiously', 'enthusiastic', 'documentary']"
a beautiful timeless and universal tale of heated passions jealousy betrayal forgiveness and murder ,0.875,pos,"['a', 'beautiful', 'timeless', 'and', 'universal', 'tale', 'of', 'heated', 'passion', 'jealousy', 'betrayal', 'forgiveness', 'and', 'murder']"
a culture clash comedy that in addition to being very funny captures some of the discomfort and embarrassment of being a bumbling american in europe ,0.68056,pos,"['a', 'culture', 'clash', 'comedy', 'that', 'in', 'addition', 'to', 'being', 'very', 'funny', 'capture', 'some', 'of', 'the', 'discomfort', 'and', 'embarrassment', 'of', 'being', 'a', 'bumbling', 'american', 'in', 'europe']"
shattering devastating documentary on two maladjusted teens in a downward narcotized spiral ,0.61111,pos,"['shattering', 'devastating', 'documentary', 'on', 'two', 'maladjusted', 'teen', 'in', 'a', 'downward', 'narcotized', 'spiral']"
extraordinary debut from josh koury ,0.875,pos,"['extraordinary', 'debut', 'from', 'josh', 'koury']"
the most compelling performance of the year adds substantial depth to this shocking testament to anti semitism and neo fascism ,0.86111,pos,"['the', 'most', 'compelling', 'performance', 'of', 'the', 'year', 'add', 'substantial', 'depth', 'to', 'this', 'shocking', 'testament', 'to', 'anti', 'semitism', 'and', 'neo', 'fascism']"
for those who are intrigued by politics of the 70s the film is every bit as fascinating as it is flawed ,0.70833,pos,"['for', 'those', 'who', 'are', 'intrigued', 'by', 'politics', 'of', 'the', '70', 'the', 'film', 'is', 'every', 'bit', 'a', 'fascinating', 'a', 'it', 'is', 'flawed']"
all right so it s not a brilliant piece of filmmaking but it is a funny sometimes hilarious comedy with a deft sense of humor about itself a playful spirit and a game cast ,0.70833,pos,"['all', 'right', 'so', 'it', 's', 'not', 'a', 'brilliant', 'piece', 'of', 'filmmaking', 'but', 'it', 'is', 'a', 'funny', 'sometimes', 'hilarious', 'comedy', 'with', 'a', 'deft', 'sense', 'of', 'humor', 'about', 'itself', 'a', 'playful', 'spirit', 'and', 'a', 'game', 'cast']"
douglas mcgrath s nicholas nickleby does dickens as it should be done cinematically ,0.8333299999999999,pos,"['douglas', 'mcgrath', 's', 'nicholas', 'nickleby', 'doe', 'dickens', 'a', 'it', 'should', 'be', 'done', 'cinematically']"
it s a lovely eerie film that casts an odd rapt spell ,0.81944,pos,"['it', 's', 'a', 'lovely', 'eerie', 'film', 'that', 'cast', 'an', 'odd', 'rapt', 'spell']"
the quirky and recessive charms of co stars martin donovan and mary louise parker help overcome the problematic script ,0.65278,pos,"['the', 'quirky', 'and', 'recessive', 'charm', 'of', 'co', 'star', 'martin', 'donovan', 'and', 'mary', 'louise', 'parker', 'help', 'overcome', 'the', 'problematic', 'script']"
it s good to see michael caine whipping out the dirty words and punching people in the stomach again ,0.75,pos,"['it', 's', 'good', 'to', 'see', 'michael', 'caine', 'whipping', 'out', 'the', 'dirty', 'word', 'and', 'punching', 'people', 'in', 'the', 'stomach', 'again']"
you just know something terrible is going to happen ,0.51389,neutral,"['you', 'just', 'know', 'something', 'terrible', 'is', 'going', 'to', 'happen']"
but when it does you re entirely unprepared ,0.51389,neutral,"['but', 'when', 'it', 'doe', 'you', 're', 'entirely', 'unprepared']"
it s fun wispy wise and surprisingly inoffensive for a film about a teen in love with his stepmom ,0.77778,pos,"['it', 's', 'fun', 'wispy', 'wise', 'and', 'surprisingly', 'inoffensive', 'for', 'a', 'film', 'about', 'a', 'teen', 'in', 'love', 'with', 'his', 'stepmom']"
able to provide insight into a fascinating part of theater history ,0.68056,pos,"['able', 'to', 'provide', 'insight', 'into', 'a', 'fascinating', 'part', 'of', 'theater', 'history']"
an unflinching complex portrait of a modern israel that is rarely seen on screen ,0.69444,pos,"['an', 'unflinching', 'complex', 'portrait', 'of', 'a', 'modern', 'israel', 'that', 'is', 'rarely', 'seen', 'on', 'screen']"
a jewish ww ii doc that is n t trying simply to out shock out outrage or out depress its potential audience ,0.55556,neutral,"['a', 'jewish', 'ww', 'ii', 'doc', 'that', 'is', 'n', 't', 'trying', 'simply', 'to', 'out', 'shock', 'out', 'outrage', 'or', 'out', 'depress', 'it', 'potential', 'audience']"
who knew ,0.5,neutral,"['who', 'knew']"
it s a familiar story but one that is presented with great sympathy and intelligence ,0.77778,pos,"['it', 's', 'a', 'familiar', 'story', 'but', 'one', 'that', 'is', 'presented', 'with', 'great', 'sympathy', 'and', 'intelligence']"
gently humorous and touching ,0.79167,pos,"['gently', 'humorous', 'and', 'touching']"
it wo n t hold up over the long haul but in the moment finch s tale provides the forgettable pleasures of a saturday matinee ,0.63889,pos,"['it', 'wo', 'n', 't', 'hold', 'up', 'over', 'the', 'long', 'haul', 'but', 'in', 'the', 'moment', 'finch', 's', 'tale', 'provides', 'the', 'forgettable', 'pleasure', 'of', 'a', 'saturday', 'matinee']"
kinnear s performance is a career defining revelation ,0.80556,pos,"['kinnear', 's', 'performance', 'is', 'a', 'career', 'defining', 'revelation']"
